,Name,Address,Phone Numbers,Year Born,Home Status,Speeding Tickets,Children,Annual Income,Email
40,Samuel Miller,"10011 Seventh Ln., Apt 8165, East Los Angeles, California",9750139646,1932,Rent,0,0,$247002,samuel_miller111@outlook.com
41,Luke Rivera,"32645 Third Ln., Enterprise, Nevada",2663127207,2013,N/A,0,0,0,luk-river526@yahoo.com
42,Owen White,"4404 Tenth Dr., Apt 8225, Brandon, Florida",6044974204,1972,Rent,0,0,$180902,owe-whit102@protonmail.com
43,Isla Ward,"17364 Second Ave, Apt 3779, Metairie, Louisiana",3346275295,1981,Rent,1,2,$118740,isl.ward620@outlook.com
44,Maya Fisher,"29896 Fourth Place, Metairie, Louisiana",6036091797,1921,Rent,2,0,$25922,may_fishe800@yahoo.com
45,Noah Gutierrez,"17008 First Blvd., Apt 7871, Sunrise Manor, Nevada",3286258149,1942,Own,0,0,$243522,noagutierrez719@aol.com
46,Colton Foster,"13882 First St., Apt 5111, Metairie, Louisiana",5848446635,2017,N/A,0,0,0,coltonfoste86@outlook.com
47,Samuel Hill,"6582 First St., Apt 8933, Spring Valley, Nevada",3158393617,2020,N/A,0,0,0,samue.hil481@outlook.com
48,Sophia Bell,"12802 Tenth Dr., Apt 1787, Paradise, Nevada",9837515771,2006,N/A,0,0,0,sophibel772@protonmail.com
49,Madison Thomas,"16226 Park St., Sunrise Manor, Nevada",6685186792,1968,Rent,0,2,$177278,madiso.thomas720@yahoo.com
50,Riley Murphy,"2098 Cedar Place, Apt 9316, Metairie, Louisiana",4160900624,1959,Own,0,0,$98025,rile-murphy774@protonmail.com
51,Ethan Ward,"25602 Sixth Ave, Brandon, Florida",6090864600,1958,Own,0,0,$100040,ethaward737@hotmail.com
52,Ezra Ross,"4356 Cedar Blvd., Apt 8908, Brandon, Florida",9101956484,1954,Rent,0,4,$62318,ezra_ros95@yahoo.com
53,Luna Baker,"3921 Second Ln., Spring Valley, Nevada",2097687341,1991,Rent,2,2,$154225,lunabake930@yahoo.com
54,Leah Davis,"20441 Park Ave, East Los Angeles, California",4758628437,1935,Rent,0,1,$29062,leah.davi515@gmail.com
55,Evelyn Thompson,"5014 Second Place, Spring Valley, Nevada",5319616902,2021,N/A,0,0,0,evelythompson75@gmail.com
56,Olivia James,"15063 Eighth Ave, Apt 2189, Enterprise, Nevada",5191752871,1927,Rent,0,0,$202155,olivi.jame947@gmail.com
57,Adalyn Sullivan,"25855 Eighth St., Apt 4120, Sunrise Manor, Nevada",5207392937,1923,Rent,1,0,$19369,adalyn.sulliva182@protonmail.com
58,Jacob Green,"27751 Fifth Blvd., Apt 3629, Metairie, Louisiana",7669691909,1929,Own,0,0,$197898,jacobgree640@outlook.com
59,Zoe Miller,"10205 Ninth Ave, Sunrise Manor, Nevada",8687195056,1961,Rent,0,4,$17625,zoe_miller20@gmail.com
60,Muhammad Russell,"6291 Oak Ln., Metairie, Louisiana",8884876982,1985,Own,0,0,$195864,muhammad.russell696@aol.com
61,Mila Williams,"20496 Park St., Paradise, Nevada",6488633874,2010,N/A,0,0,0,mila_william490@gmail.com
62,Penelope Young,"18737 Ninth Ln., Paradise, Nevada",2340363054,2017,N/A,0,0,0,penelopeyoun314@aol.com
63,Charlie Barnes,"15745 Seventh Blvd., Apt 8096, Arlington, Virginia",7897586930,1984,Own,0,3,$84718,charlie-barne871@hotmail.com
64,Riley Edwards,"22854 Second Ave, Sunrise Manor, Nevada",2875993352,1956,Own,0,1,$70696,rileedwards331@yahoo.com
65,Alexander Allen,"8627 Oak Ave, Apt 170, Paradise, Nevada",9393280643,1995,Rent,0,1,$23999,alexande-allen495@aol.com
66,Gianna Cook,"1828 Fourth Ln., Arlington, Virginia",7724727040,2002,Rent,1,0,$184346,gianncoo259@aol.com
67,Emma Murphy,"25292 Eighth Blvd., Apt 5994, Paradise, Nevada",6142303645,1995,Rent,0,2,$205157,emmamurph691@yahoo.com
68,Noah Butler,"914 Cedar Ln., Apt 5750, Metairie, Louisiana",7908168463,2012,N/A,0,0,0,noabutle501@protonmail.com
69,Caden Perez,"21529 Fourth Ave, Sunrise Manor, Nevada",5198149127,1936,Rent,0,0,$246939,cade-perez866@gmail.com
70,Elijah Carter,"12641 Second Ave, Arlington, Virginia",5680796524,1958,Own,0,1,$84308,elija-carter100@outlook.com
71,Leo Ward,"8425 Fourth Blvd., East Los Angeles, California",5341427500,2017,N/A,0,0,0,le_ward311@protonmail.com
72,William Thomas,"12587 Ninth St., Sunrise Manor, Nevada",8754698471,1932,Own,0,2,$49661,willia.thoma820@outlook.com
73,Chloe Wright,"3512 Ninth Blvd., Spring Valley, Nevada",7905897923,1971,Rent,0,0,$130707,chlo.wright118@yahoo.com
74,Lincoln Lee,"29607 Oak Ln., Arlington, Virginia",2275722882,1969,Rent,0,0,$202260,lincoln-le896@hotmail.com
75,Everly Green,"20269 Park St., Enterprise, Nevada",4743607892,1988,Rent,0,0,$167451,everly-green932@yahoo.com
76,Zoe Mitchell,"30861 Park Ave, East Los Angeles, California",9976200415,1951,Rent,0,3,$214128,zoe-mitchell573@outlook.com
77,Carson Edwards,"20450 Park Ave, Apt 4995, Spring Valley, Nevada",6056972941,1970,Own,0,0,$52892,carso_edwards697@protonmail.com
78,Lucas Hughes,"8213 Second St., Apt 416, Metairie, Louisiana",6950974507,1971,Own,0,1,$135188,lucas_hughe973@yahoo.com
79,Michael Gutierrez,"324 Second Place, Sunrise Manor, Nevada",9407732142,2008,N/A,0,0,0,michaelgutierre857@outlook.com
80,James Wright,"15284 Seventh Dr., East Los Angeles, California",9080679291,2005,N/A,0,2,$63127,james-wrigh4@outlook.com
81,Noah Lopez,"2047 Park St., Sunrise Manor, Nevada",5956231851,1972,Rent,0,0,$249895,noah-lope471@gmail.com
82,Ella Baker,"32481 Eighth Place, East Los Angeles, California",3533350634,1951,Rent,0,0,$235718,ell-baker264@yahoo.com
83,Aaliyah Taylor,"2970 Eighth Dr., Arlington, Virginia",4868931875,1999,Rent,0,4,$224708,aaliyah.taylor132@protonmail.com
84,Kinsley Hill,"26568 First Dr., Apt 3858, Metairie, Louisiana",2867554088,1970,Rent,0,0,$18056,kinslehill725@protonmail.com
85,Scarlett Gray,"28145 Park Ln., Apt 5464, Sunrise Manor, Nevada",3121531149,1976,Rent,0,2,$136287,scarlet-gray318@outlook.com
86,Jace Smith,"20277 Cedar Ln., Metairie, Louisiana",4101522458,1999,Own,0,2,$129437,jac.smit941@gmail.com
87,Caleb Hall,"18058 Second Dr., Apt 1199, Arlington, Virginia",5689751994,1968,Own,0,4,$210167,caleb_hall72@aol.com
88,Everly Robinson,"1709 Tenth Blvd., Brandon, Florida",7861109260,2009,N/A,0,0,0,everlyrobinson209@gmail.com
89,Elena Parker,"22919 Tenth Ave, Apt 8174, Brandon, Florida",4790539469,1975,Rent,0,0,$222380,elenaparker910@gmail.com
90,Aubrey Morris,"28222 Fifth Place, Sunrise Manor, Nevada",9924245113,1974,Rent,0,1,$224986,aubre_morri588@gmail.com
91,Levi Walker,"1993 Cedar Dr., Brandon, Florida",3214331076,1994,Rent,0,0,$232540,levwalker181@outlook.com
92,Chloe Cox,"22042 Third Dr., Spring Valley, Nevada",6659218645,1991,Rent,0,0,$168145,chlocox803@gmail.com
93,Olivia Bell,"21763 Sixth Blvd., Apt 1535, Metairie, Louisiana",8062947017,1968,Own,0,0,$210222,olivibel806@yahoo.com
94,Lucas Smith,"23681 Eighth Place, Apt 99, Sunrise Manor, Nevada",5892514471,1955,Own,0,0,$40131,lucas_smith236@outlook.com
95,Gianna Russell,"14258 Sixth Place, Enterprise, Nevada",2901452830,1930,Own,0,0,$57437,giannrussel990@yahoo.com
96,Ellie Walker,"30372 Third Blvd., Paradise, Nevada",3729264001,1988,Rent,0,0,$77054,elli-walke815@yahoo.com
97,James Lopez,"21758 Oak Ln., Paradise, Nevada",2162185719,1921,Rent,1,0,$44290,jamelope593@aol.com
98,Sophia Peterson,"136 Fifth Ave, Sunrise Manor, Nevada",9566200214,1928,Rent,0,0,$34311,sophia_peterso378@yahoo.com
99,Jack Brooks,"28015 Ninth Ln., Metairie, Louisiana",7755187656,1948,Own,0,0,$30846,jacbrooks200@protonmail.com
100,Olivia Powell,"8690 Eighth St., Sunrise Manor, Nevada",8520457618,1998,Own,0,0,$178411,olivi_powel794@hotmail.com
101,Elena Edwards,"5020 Cedar Ln., East Los Angeles, California",9590555609,1946,Rent,0,0,$108063,elena_edwards478@gmail.com
102,Jacob Russell,"23167 Second Blvd., Apt 9792, Arlington, Virginia",8285018368,1951,Own,0,2,$79477,jacob-russell897@outlook.com
103,Aurora Brooks,"9479 Park St., Apt 4744, Sunrise Manor, Nevada",6133879386,1936,Own,0,0,$225392,auror_brook305@outlook.com
104,Harper Morgan,"4341 Fifth Blvd., Apt 3843, Metairie, Louisiana",9491727844,1993,Own,0,3,$228456,harper_morga298@yahoo.com
105,Logan Powell,"22144 Third Ave, Apt 1813, Metairie, Louisiana",7020466031,2005,N/A,0,0,$111582,logan-powell547@hotmail.com
106,Elijah Richardson,"14181 Cedar Place, Paradise, Nevada",9813064411,2019,N/A,0,0,0,elijah.richardson153@yahoo.com
107,Julian Cruz,"10106 Ninth Ln., Apt 8088, East Los Angeles, California",9719052190,1988,Rent,0,0,$173757,julia-cru556@hotmail.com
108,Aaliyah Butler,"20157 Second Ave, Apt 149, Arlington, Virginia",8966257230,1949,Rent,0,0,$125553,aaliyahbutle241@gmail.com
109,Carter Wood,"783 Seventh Blvd., Spring Valley, Nevada",5298786916,1935,Rent,0,2,$159716,carte_woo537@hotmail.com
110,Hannah Jackson,"17559 Fifth St., Apt 1758, Metairie, Louisiana",5056265742,2007,N/A,0,0,0,hannah-jackson967@hotmail.com
111,Benjamin Perry,"32251 Cedar Ave, Apt 3438, Paradise, Nevada",9973419464,1977,Rent,0,2,$172218,benjaminperry859@yahoo.com
112,Wyatt Turner,"28531 Second Blvd., Enterprise, Nevada",8352755630,1984,Rent,0,0,$98529,wyat-turner981@outlook.com
113,Luke Kelly,"618 Second St., Sunrise Manor, Nevada",2900230701,2009,N/A,0,0,0,luke-kell659@yahoo.com
114,Amelia Adams,"20791 Fourth Blvd., Enterprise, Nevada",8297324720,1955,Own,0,2,$192692,ameliadam511@outlook.com
115,Ava Roberts,"17569 Second Place, Paradise, Nevada",3671927134,2013,N/A,0,0,0,ava-roberts487@gmail.com
116,Josiah Collins,"3509 Third Place, Spring Valley, Nevada",7722891002,1984,Rent,0,0,$231576,josia.collin818@aol.com
117,Gianna Jenkins,"1378 Cedar Ln., Apt 8955, Spring Valley, Nevada",9105647247,1945,Rent,0,0,$204222,giann_jenkin954@hotmail.com
118,Owen Cook,"26415 Sixth Ave, Apt 654, Spring Valley, Nevada",6139657052,1997,Rent,0,0,$135091,owen.cook55@gmail.com
119,Paisley Evans,"22955 Fifth Dr., Sunrise Manor, Nevada",9700833175,1982,Rent,1,3,$27463,paisleyevans40@aol.com
120,Aaliyah Barnes,"20108 Sixth Blvd., Paradise, Nevada",3074044400,1929,Own,0,3,$218646,aaliyah_barnes253@aol.com
121,Ella Garcia,"16620 Oak Dr., Apt 7511, East Los Angeles, California",9199451784,1956,Own,0,0,$248743,ella.garcia515@protonmail.com
122,Carson Clark,"20444 Fifth Blvd., Apt 8479, Sunrise Manor, Nevada",4259924460,1927,Own,0,0,$146906,carso_clark918@hotmail.com
123,Lincoln Garcia,"27206 Park Place, Apt 6327, Arlington, Virginia",4708733039,2002,Own,0,1,$160766,lincolngarci197@hotmail.com
124,Avery Gutierrez,"3117 Eighth Ln., Arlington, Virginia",3380656653,2001,Rent,0,0,$59817,averygutierre157@hotmail.com
125,Mia James,"31568 Seventh Blvd., Enterprise, Nevada",4088443926,2009,N/A,0,0,0,mi.james503@hotmail.com
126,Zoe Fisher,"13999 Sixth Place, Apt 723, Brandon, Florida",7268768632,2019,N/A,0,0,0,zo_fishe231@aol.com
127,Maya Garcia,"15756 Sixth Place, Paradise, Nevada",6671336939,1980,Rent,0,0,$193599,maya.garcia9@outlook.com
128,Everly Young,"5170 Park Dr., Metairie, Louisiana",8383600877,2004,N/A,0,1,$224098,everl.young290@hotmail.com
129,Carson Myers,"13839 First Place, Apt 915, Brandon, Florida",5530335517,2012,N/A,0,0,0,carso.myers930@yahoo.com
130,Harper Sullivan,"30196 Tenth St., Sunrise Manor, Nevada",9227446602,2009,N/A,0,0,0,harpesulliva723@aol.com
131,Madison Perry,"7144 First Blvd., Brandon, Florida",7654739686,1949,Rent,0,0,$231290,madison-perry136@aol.com
132,Gabriel Wilson,"7426 Park Dr., Apt 2814, Spring Valley, Nevada",2061995580,1954,Rent,1,0,$165421,gabriewilson485@aol.com
133,Grayson Bell,"27947 Sixth Ln., Apt 5840, Arlington, Virginia",7285747175,2002,Own,0,0,$180716,grayson-bell209@aol.com
134,Emma Brooks,"7093 Eighth Dr., Apt 774, Spring Valley, Nevada",2531933421,2018,N/A,0,0,0,emm.brook952@hotmail.com
135,Aiden Miller,"27632 Park Ln., Apt 5785, Arlington, Virginia",5649901135,1968,Own,0,0,$98163,aidenmille916@yahoo.com
136,Mason Butler,"6442 Fifth Place, Arlington, Virginia",8581107937,1983,Own,0,0,$238770,maso.butle194@gmail.com
137,Maverick Edwards,"21641 Third Place, Enterprise, Nevada",8013296511,1995,Own,0,0,$127615,mavericedward811@aol.com
138,Carter Johnson,"15933 Oak Ln., East Los Angeles, California",5885306281,2013,N/A,0,0,0,carte-johnso988@gmail.com
139,Lila Sullivan,"25136 Park Ave, Apt 1967, Brandon, Florida",2980152310,1993,Rent,0,0,$164832,lil_sulliva963@protonmail.com
140,Zoe Sanders,"22926 First Blvd., Brandon, Florida",2434932181,2016,N/A,0,0,0,zo_sanders736@yahoo.com
141,Paisley Bailey,"21020 Eighth Ln., Apt 4465, Enterprise, Nevada",9536568367,1955,Own,0,0,$161198,paisle-baile635@hotmail.com
142,Mila Martin,"13288 Oak Dr., Apt 1440, Spring Valley, Nevada",4898422470,2013,N/A,0,0,0,mila_martin547@hotmail.com
143,Jacob Davis,"8592 Tenth Ln., Apt 6130, Enterprise, Nevada",4118724077,1956,Own,0,0,$249277,jacobdavi628@protonmail.com
144,Wyatt Edwards,"29595 Third Ln., Metairie, Louisiana",4261184943,2001,Rent,0,0,$145833,wyatt-edwards102@protonmail.com
145,Madelyn Morales,"2693 First Blvd., Metairie, Louisiana",6613370778,1956,Rent,0,0,$153406,madelyn-morale314@gmail.com
146,Ariana Moore,"17641 Fourth Ln., Paradise, Nevada",3013508330,2021,N/A,0,0,0,ariana_moor934@protonmail.com
147,Daniel Harris,"22826 Tenth Place, East Los Angeles, California",8128480136,2015,N/A,0,0,0,danie-harris919@protonmail.com
148,Wyatt Rogers,"2235 Fourth St., Apt 2969, Brandon, Florida",4010604944,2008,N/A,0,0,0,wyatrogers931@yahoo.com
149,Emilia Fisher,"31145 Sixth Place, Metairie, Louisiana",7037672017,1957,Rent,0,2,$236338,emilifishe117@protonmail.com
150,Asher Diaz,"8752 Fifth Dr., Spring Valley, Nevada",4392244525,1998,Rent,0,0,$170967,ashe-diaz720@gmail.com
151,Lila Miller,"2081 Cedar St., East Los Angeles, California",6760149096,1987,Rent,0,0,$182420,lila-mille419@aol.com
152,Lila Campbell,"12927 Fifth St., Apt 8993, Arlington, Virginia",6813240302,2018,N/A,0,0,0,lila-campbel378@gmail.com
153,Luna Reed,"32095 Eighth St., Sunrise Manor, Nevada",8313785968,1986,Own,1,0,$143205,lun_ree306@gmail.com
154,Julian Garcia,"3353 Second Ln., Brandon, Florida",8909502442,2002,Rent,0,0,$140338,julia_garcia927@hotmail.com
155,Emilia Kelly,"2590 Ninth Dr., Apt 6712, Metairie, Louisiana",2219332625,2018,N/A,0,0,0,emilia_kell428@gmail.com
156,Josiah Richardson,"18776 Fifth Ln., Brandon, Florida",5028742484,1951,Own,0,2,$141540,josia_richardson642@outlook.com
157,Madison Russell,"23945 Ninth St., Apt 78, Metairie, Louisiana",6821982435,1992,Rent,0,3,$99815,madisorussel271@protonmail.com
158,Gabriel Phillips,"21503 Sixth Place, Apt 2034, Metairie, Louisiana",2693549691,1970,Rent,0,0,$212545,gabrie_phillip69@hotmail.com
159,Grayson Sanders,"28336 Sixth Ave, Arlington, Virginia",2076430549,1929,Rent,1,2,$140339,graysonsander71@hotmail.com
160,Luke Jones,"27933 Cedar St., Metairie, Louisiana",5174080428,1986,Rent,2,0,$231742,luk-jones582@hotmail.com
161,Isaiah Collins,"9357 Second Ave, Apt 3420, Metairie, Louisiana",5164736542,1929,Own,1,0,$161383,isaia.collin516@outlook.com
162,Riley Baker,"8700 Sixth Blvd., Apt 6766, Arlington, Virginia",3692092039,2003,Own,3,0,$16966,rile_bake874@outlook.com
163,Madison Martin,"15985 Eighth Ln., Apt 3107, Paradise, Nevada",7034008344,1928,Own,0,0,$23239,madiso-marti979@gmail.com
164,Luna Price,"4204 Second Blvd., Brandon, Florida",7002982831,1981,Own,0,0,$90361,luna.price270@yahoo.com
165,Daniel Miller,"17087 Park Blvd., Apt 9839, East Los Angeles, California",6297117074,1961,Rent,0,0,$155777,danielmille27@hotmail.com
166,Gabriel Gutierrez,"27211 Sixth Ln., Metairie, Louisiana",9033098722,1921,Own,1,0,$66175,gabrie.gutierrez66@protonmail.com
167,Scarlett Howard,"20750 Third Ave, Apt 5625, Enterprise, Nevada",9782020168,1924,Own,0,0,$228494,scarlett_howard491@outlook.com
168,Logan Johnson,"31567 Oak Dr., Sunrise Manor, Nevada",3265874062,1922,Rent,0,0,$27226,loga.johnson568@protonmail.com
169,Riley James,"16659 Fourth St., Apt 5304, Metairie, Louisiana",2745966845,1987,Rent,1,1,$203490,rile.james930@yahoo.com
170,Grayson Gutierrez,"15431 Sixth Place, Apt 1496, Sunrise Manor, Nevada",2366227153,1939,Rent,0,0,$210262,grayson_gutierrez782@yahoo.com
171,Ryan Mitchell,"12396 Sixth Dr., Apt 611, Arlington, Virginia",8895887412,1970,Own,0,0,$224059,ryan_mitchell496@gmail.com
172,Ella Torres,"24636 Sixth Ln., Brandon, Florida",9310860028,1922,Own,0,0,$94113,ell-torres82@gmail.com
173,Leo Campbell,"13113 Tenth Place, Apt 6770, Paradise, Nevada",9461485162,1959,Rent,0,2,$119544,leo-campbel723@hotmail.com
174,Layla Campbell,"24183 Fourth St., Apt 3362, Enterprise, Nevada",9914506334,2020,N/A,0,0,0,layla_campbell979@gmail.com
175,Maya Wright,"5360 Cedar Ln., Brandon, Florida",3980155343,1994,Rent,0,0,$224835,may-wrigh83@aol.com
176,Asher Ward,"859 Second St., Apt 8673, Sunrise Manor, Nevada",8667084344,1997,Own,0,1,$175207,asherwar929@aol.com
177,Samuel Walker,"19761 Seventh St., Spring Valley, Nevada",5662410592,1956,Own,1,0,$229506,samuel_walker751@gmail.com
178,Muhammad Williams,"21918 Eighth Blvd., Apt 5707, Arlington, Virginia",9867357565,1994,Rent,1,0,$158539,muhamma_williams627@outlook.com
179,Charlie King,"29733 Oak Place, Apt 4871, Sunrise Manor, Nevada",7753328295,1925,Own,0,3,$134006,charli_kin74@hotmail.com
180,Peyton Howard,"12891 Second Place, Apt 6345, Brandon, Florida",4580614834,1936,Rent,1,1,$139906,peytohoward898@gmail.com
181,Aaliyah Murphy,"24214 Sixth Place, Apt 9203, Spring Valley, Nevada",6103154833,1996,Rent,1,0,$85268,aaliyah_murphy709@gmail.com
182,Carter Russell,"14198 Eighth Place, Enterprise, Nevada",5706477974,1973,Rent,0,0,$228313,carterussel14@aol.com
183,Sophia King,"8657 Park Place, Arlington, Virginia",7223095267,1994,Rent,0,0,$170005,sophia.kin195@protonmail.com
184,Ava Reyes,"30323 Fourth Ln., Sunrise Manor, Nevada",8679411518,1960,Own,0,0,$45515,ava_reye472@protonmail.com
185,Charlotte Martin,"32228 Cedar Ave, East Los Angeles, California",6886452431,1982,Rent,0,0,$226628,charlottemarti782@hotmail.com
186,Emily Myers,"26754 Cedar Ave, Paradise, Nevada",4475567258,1944,Rent,0,0,$160789,emil_myer335@outlook.com
187,Caden Williams,"23918 Seventh Blvd., Apt 6683, Sunrise Manor, Nevada",9768162765,1927,Own,0,0,$181536,cade_williams534@yahoo.com
188,Mia Murphy,"27865 Tenth Dr., Enterprise, Nevada",6701596088,1963,Own,0,0,$98940,miamurph987@hotmail.com
189,Leo Hill,"27242 Cedar St., Apt 3020, East Los Angeles, California",5105750498,1999,Rent,0,0,$22786,leo.hil637@gmail.com
190,Ava King,"30448 Ninth St., Apt 880, Paradise, Nevada",2914855750,1924,Own,0,4,$27608,ava-kin869@gmail.com
191,Aiden Garcia,"22206 Cedar Ln., Metairie, Louisiana",6959412479,2010,N/A,0,0,0,aidegarcia543@hotmail.com
192,Peyton Taylor,"14585 Oak Dr., Apt 8765, Sunrise Manor, Nevada",4561101178,1961,Own,0,3,$197082,peyto_taylor443@gmail.com
193,Benjamin Stewart,"13569 Second Place, Apt 2907, Sunrise Manor, Nevada",4100832552,1953,Rent,0,0,$106033,benjamistewar776@hotmail.com
194,Maverick Baker,"5486 Tenth Place, Sunrise Manor, Nevada",6139227685,1943,Rent,1,0,$159912,maveric.bake345@outlook.com
195,Mia Anderson,"21082 Cedar St., Enterprise, Nevada",7528247649,2009,N/A,0,0,0,mi_anderson143@outlook.com
196,Hannah Gonzalez,"20193 Third Ln., Apt 3022, Spring Valley, Nevada",6764121831,2019,N/A,0,0,0,hannah_gonzalez892@aol.com
197,Sebastian Garcia,"23272 Fourth St., Apt 5281, Spring Valley, Nevada",8451945937,1924,Rent,1,0,$91121,sebastia-garcia166@protonmail.com
198,Peyton Campbell,"21210 Tenth Dr., Sunrise Manor, Nevada",5295699306,2008,N/A,0,0,0,peyton_campbell779@gmail.com
199,Lucas Gonzalez,"29781 First Dr., Apt 3165, Sunrise Manor, Nevada",7647150861,2017,N/A,0,0,0,lucas_gonzale121@protonmail.com
200,Layla Lee,"21 Second Ln., East Los Angeles, California",3861444900,2017,N/A,0,0,0,layl_le179@yahoo.com
201,Emilia Morgan,"27961 Sixth Dr., Arlington, Virginia",8325137395,1990,Rent,0,0,$51937,emilia_morgan174@gmail.com
202,Sophia Jenkins,"25586 Ninth Dr., Spring Valley, Nevada",5438521096,1970,Rent,0,0,$179815,sophi.jenkins819@yahoo.com
